[Munich Mod] Copying data files to cities/data/MUC...
[Munich Mod] Data files copied successfully.
[Munich Mod] Starting tile server on port 8082...
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11370.mvt in 2.702709ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11371.mvt in 2.646583ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 3.186792ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11369.mvt in 3.009ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11368.mvt in 2.943125ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11369.mvt in 272.792µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11370.mvt in 100.125µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11368.mvt in 119.375µs
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F15%2F17436%2F11367.mvt in 5.23475ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17439%2F11370.mvt in 4.827667ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11371.mvt in 4.200209ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17439%2F11369.mvt in 6.754625ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11368.mvt in 7.169ms
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F15%2F17435%2F11370.mvt in 7.701459ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11371.mvt in 1.097083ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17435%2F11369.mvt in 1.119083ms
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F15%2F17437%2F11367.mvt in 254.709µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17439%2F11368.mvt in 401.709µs
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F15%2F17440%2F11369.mvt in 486.583µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F15%2F17435%2F11368.mvt in 181.041µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8718%2F5684.mvt in 468.042µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8718%2F5685.mvt in 714.583µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8719%2F5685.mvt in 845.625µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8719%2F5684.mvt in 1.061333ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8717%2F5685.mvt in 811.542µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8718%2F5683.mvt in 591.333µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8717%2F5684.mvt in 831.791µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8720%2F5684.mvt in 338.125µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8719%2F5683.mvt in 255.25µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8717%2F5683.mvt in 925.584µs
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F14%2F8718%2F5686.mvt in 444.083µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8720%2F5685.mvt in 543.292µs
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F14%2F8717%2F5682.mvt in 464.625µs
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F14%2F8719%2F5686.mvt in 472.792µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F14%2F8720%2F5683.mvt in 514.5µs
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F14%2F8718%2F5682.mvt in 1.6025ms
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F14%2F8721%2F5683.mvt in 2.607292ms
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F14%2F8719%2F5682.mvt in 2.51175ms
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F14%2F8721%2F5684.mvt in 4.541625ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F13%2F4359%2F2842.mvt in 813.833µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F13%2F4358%2F2842.mvt in 632.25µs
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F13%2F4359%2F2843.mvt in 986.125µs
